"","CNTSTUID","CNT.x","ST001D01T","ST004D01T","STRATUM","ave_cr_social","ave_cr","ave_emp"
"2008",41002145,"KOR",10,2,"KOR03",NA,NA,3.4
"2009",41002146,"KOR",10,1,"KOR02",NA,NA,3.4
"2010",41002147,"KOR",10,1,"KOR02",NA,NA,3.4
"2011",41002148,"KOR",10,2,"KOR02",NA,NA,2.4
"2012",41002149,"KOR",10,1,"KOR02",NA,NA,2.6
"2013",41002150,"KOR",10,2,"KOR02",NA,NA,3.4
"2014",41002151,"KOR",10,2,"KOR02",1.4,1.5,3.4
"2015",41002154,"KOR",10,2,"KOR02",NA,NA,2.8
"2016",41002155,"KOR",10,1,"KOR02",NA,NA,3.4
"2017",41002156,"KOR",10,2,"KOR02",NA,NA,3.4
"2018",41002157,"KOR",10,1,"KOR04",NA,NA,3.4
"2019",41002158,"KOR",10,1,"KOR02",NA,NA,4.2
"2020",41002159,"KOR",10,1,"KOR02",NA,NA,2.8
"2021",41002160,"KOR",10,1,"KOR03",NA,NA,4
"2022",41002161,"KOR",10,2,"KOR02",NA,NA,3.2
"2023",41002162,"KOR",10,2,"KOR02",2,1.33333333333333,3
"2024",41002163,"KOR",10,1,"KOR02",NA,NA,3.8
"2025",41002164,"KOR",10,2,"KOR02",NA,NA,3
"2026",41002165,"KOR",10,2,"KOR02",NA,NA,2.6
"2027",41002166,"KOR",10,1,"KOR02",2,1.44444444444444,3.4
"2028",41002167,"KOR",10,2,"KOR02",NA,NA,3.4
"2029",41002169,"KOR",10,2,"KOR03",NA,NA,3
"2030",41002170,"KOR",10,1,"KOR02",0,0.25,3.2
"2031",41002171,"KOR",10,1,"KOR02",NA,NA,3.6
"2032",41002173,"KOR",10,2,"KOR02",0,0.153846153846154,3
"2033",41002174,"KOR",10,1,"KOR02",NA,NA,3.4
"2034",41002175,"KOR",10,2,"KOR02",NA,NA,2.8
"2035",41002176,"KOR",10,2,"KOR02",NA,NA,1
"2036",41002177,"KOR",10,1,"KOR02",NA,NA,2.8
"2037",41002178,"KOR",10,2,"KOR02",1.25,1,3
"2038",41002179,"KOR",10,2,"KOR03",NA,NA,3
"2039",41002180,"KOR",10,2,"KOR03",2,0.785714285714286,3
"2040",41002181,"KOR",10,1,"KOR02",NA,NA,3.4
